title_t0,title_t1,drug_t0,drug_t1,similarity,drug_overlap,row_recall,row_precision,row_f1
conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between egfr and mek or cdk4 6 inhibitors,conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between egfr and mek or cdk4 6 inhibitors,"['CETUXIMAB', 'PALBOCICLIB', 'SORAFENIB', 'TRAMETINIB']",['-'],1.0,False,0.0,0.0,
activation of the mtor pathway by oxaliplatin in the treatment of colorectal cancer liver metastasis,activation of the mtor pathway by oxaliplatin in the treatment of colorectal cancer liver metastasis,"['EVEROLIMUS', 'OXALIPLATIN']","['OXALIPLATIN', 'EVEROLIMUS']",1.0000000000000002,True,1.0,1.0,1.0
evaluation of the efficacy of dasatinib a src abl inhibitor in colorectal cancer cell lines and explant mouse model,evaluation of the efficacy of dasatinib a src abl inhibitor in colorectal cancer cell lines and explant mousemodel,['DASATINIB'],['DASATINIB'],0.855330761005382,True,1.0,1.0,1.0
lowdose trametinib and bclxl antagonist have a specific antitumor effect in krasmutated colorectal cancer cells,lowdose trametinib and bclxl antagonist have a specific antitumor effect in krasmutated colorectal cancer cells,"['abt263', 'TRAMETINIB']","['TRAMETINIB', 'ABT263']",1.0000000000000002,True,0.5,0.5,0.5
bgb 283 a novel raf kinase and egfr inhibitor displays potent antitumor activity inbraf mutated colorectal cancers,bgb 283 a novel raf kinase and egfr inhibitor displays potent antitumor activity in braf mutated colorectal cancers,"['bgb-283 (lifirafenib)', 'CETUXIMAB', 'ERLOTINIB']","['LIFIRAFENIB', 'DABRAFENIB', 'CETUXIMAB']",0.8800901268476035,True,0.3333333333333333,0.3333333333333333,0.3333333333333333
synergistic anti tumor effect of mtor inhibitors with irinotecan on colon cancer cells,synergistic anti tumor e ect of mtor inhibitors with irinotecan on colon cancer cells,"['VISTUSERTIB', 'IRINOTECAN', 'OXALIPLATIN']","['IRINOTECAN', 'VISTUSERTIB']",0.8469906727862739,True,0.6666666666666666,1.0,0.8
integrative in vivo drug testing using gene expression signature and patient derived xenografts from treatment refractory her2 positive and triple negative subtypes of breast cancer,integrative in vivo drug testing using gene expression signature and patient derived xenografts from treatment refractory her2 positive and triple negative subtypes of breast cancer,"['BEVACIZUMAB', 'DOCETAXEL', 'EVEROLIMUS', 'NERATINIB', 'PX-478', 'SORAFENIB']","['SORAFENIB', 'EVEROLIMUS', 'DOCETAXEL', 'BEVACIZUMAB', 'PX-478', 'NERATINIB']",1.0000000000000002,True,1.0,1.0,1.0
dual fatty acid synthase and her2 signaling blockade shows marked antitumor activity against breast cancer models resistant to anti her2 drugs,dual fatty acid synthase and her2 signaling blockade shows marked antitumor activity against breast cancer models resistant to anti her2 drugs,"['EPIGALLOCATECHIN GALLATE', 'TEMSIROLIMUS']","['TRASTUZUMAB', 'LAPATINIB', 'PERTUZUMAB']",1.0000000000000002,False,0.0,0.0,
dz 2384 has a superior preclinical profile to taxanes for the treatment of triple negative breast cancer and is synergistic with anti ctla 4 immunotherapy,dz 2384 has a superior preclinical profile to taxanes for the treatment of triple negative breast cancer and is synergistic with anti ctla 4 immunotherapy,"['dz-2384', 'PACLITAXEL']","['DOCETAXEL', 'PACLITAXEL', 'DZ-2384', 'METHOTREXATE', 'CHLORAMBUCIL', 'anthracyclines', 'RITONAVIR', 'ELACRIDAR', 'SORAFENIB', 'FULVESTRANT', 'SUNITINIB', 'NIVOLUMAB', 'PEMBROLIZUMAB']",1.0,True,0.5,0.07692307692307693,0.13333333333333336
jak2 regulates paclitaxel resistance in triple negative breast cancers,jak2 regulates paclitaxel resistance in triple negative breast cancers,['PACLITAXEL'],"['PACLITAXEL', 'GEMCITABINE']",1.0,True,1.0,0.5,0.6666666666666666
wnt catenin inhibition disrupts carboplatin resistance in isogenic models of triple negative breast cancer,wnt catenin inhibition disrupts carboplatin resistance in isogenic models of triple negative breast cancer,"['CARBOPLATIN', 'WNT-974']","['CARBOPLATIN', 'Wnt inhibitor', 'CHIR', 'DIMETHYL SULFOXIDE']",1.0,True,0.5,0.25,0.3333333333333333
acquired resistance to trastuzumab pertuzumab or to t dm1 in vivo can be overcome by her2 kinase inhibition with tas0728,acquired resistance to trastuzumab pertuzumab or to t dm1 in vivo can be overcome by her2 kinase inhibition with tas0728,"['tas0728', 'TRASTUZUMAB', 'PERTUZUMAB']","['LAPATINIB', 'TRASTUZUMAB', 'PERTUZUMAB', 'TRASTUZUMAB EMTANSINE', 'TAS0728']",1.0000000000000002,True,0.6666666666666666,0.4,0.5
the iron chelator deferasirox synergises with chemotherapy to treat triple negative breast cancers,the iron chelator deferasirox synergises with chemotherapy to treat triple negative breast cancers,"['adriamycin (doxorubicin)', 'dfx', 'CYCLOPHOSPHAMIDE']","['DOXORUBICIN', 'CISPLATIN', 'CARBOPLATIN', 'CYCLOPHOSPHAMIDE', 'DEFERASIROX']",1.0000000000000002,True,0.3333333333333333,0.2,0.25
identification of src family kinases as potential therapeutic targets for chemotherapy resistant triple negative breast cancer,identification of src family kinases as potential therapeutic targets for chemotherapy resistant triple negative breast cancer,"['DASATINIB', 'PACLITAXEL']","['DASATINIB', 'PACLITAXEL']",1.0000000000000002,True,1.0,1.0,1.0
evaluation of combined chemotherapy and genomic driven targeted therapy in patient derived xenografts identifies new therapeutic approaches in squamous non small cell lung cancer patients,evaluation of combined chemotherapy and genomic driven targeted therapy in patient derived xenografts identifies new therapeutic approaches in squamous non small cell lung cancer patients,"['CARBOPLATIN', 'CISPLATIN', 'ETOPOSIDE', 'GEMCITABINE', 'PACLITAXEL', 'PEMETREXED']","['SORAFENIB', 'GEMCITABINE', 'CISPLATIN', 'BEVACIZUMAB']",1.0000000000000002,True,0.3333333333333333,0.5,0.4
cdk4 6 inhibitors impede chemoresistance and inhibit tumor growth of small cell lung cancer,cdk4 6 inhibitors impede chemoresistance and inhibit tumor growth of small cell lung cancer,"['CISPLATIN', 'ETOPOSIDE']","['PALLADIUM', 'LEE']",1.0,False,0.0,0.0,
cisplatin increases sensitivity to fgfr inhibition in patient derived xenograft models of lung squamous cell carcinoma,cisplatin increases sensitivity to fgfr inhibition in patient derived xenograft models of lung squamous cell carcinoma,"['INFIGRATINIB', 'CISPLATIN']","['CISPLATIN', 'INFIGRATINIB']",1.0000000000000002,True,1.0,1.0,1.0
sensitization of egfr wild type nonsmall cell lung cancer cells to egfr tyrosine kinase inhibitor erlotinib,sensitization of egfr wild type non small cell lung cancer cells to egfr tyrosine kinase inhibitor erlotinib,"['CISPLATIN', 'ERLOTINIB']","['CISPLATIN', 'ERLOTINIB']",0.9227124100285269,True,1.0,1.0,1.0
oral estrogen receptor protac vepdegestrant arv 471 is highly efficacious as monotherapy and in combination with cdk4 6 or pi3k mtor pathway inhibitors in preclinical erbreast cancer models,oral estrogen receptor protac vepdegestrant arv 471 is highly efficacious as monotherapy and in combination with cdk4 6 or pi3k mtor pathway inhibitors in preclinical er breast cancer models,['FULVESTRANT'],"['FULVESTRANT', 'AZD-9496', 'VEPDEGESTRANT']",0.9434166805261214,True,1.0,0.3333333333333333,0.5
her4 affects sensitivity to tamoxifen and abemaciclib in luminal breast cancer cells and restricts tumor growth in mcf 7 based humanized tumor mice,her4affects sensitivity to tamoxifen and abemaciclib in luminal breast cancer cells and restricts tumor growth in mcf 7 based humanized tumor mice,"['ABEMACICLIB', 'TAMOXIFEN']","['RITUXIMAB', 'PEMBROLIZUMAB', 'NIVOLUMAB', 'FULVESTRANT', 'SUNITINIB']",0.8628997700933877,False,0.0,0.0,
mediator kinase inhibitors suppress triple negative breast cancer growth and extend tumor suppression by mtor and akt inhibitors,mediator kinase inhibitors suppress triple negative breast cancer growth and extend tumor suppression by mtor and akt inhibitors,"['CAPIVASERTIB', 'EVEROLIMUS']","['EVEROLIMUS', 'CDK8/19i']",1.0,True,0.5,0.5,0.5
brca1 methylated triple negative breast cancers previously exposed to neoadjuvant chemotherapy form rad51 foci and respond poorly to olaparib,brca1 methylated triple negative breast cancers previously exposed to neoadjuvant chemotherapy form rad51 foci and respond poorly to olaparib,"['CARBOPLATIN', 'OLAPARIB']","['OLAPARIB', '4-CHLOROBENZOPHENONE']",1.0000000000000002,True,0.5,0.5,0.5
rb expression confers sensitivity to cdk4 6 inhibitormediated radiosensitization across breast cancer subtypes,rb expression confers sensitivity to cdk4 6 inhibitormediated radiosensitization across breast cancer subtypes,"['ABEMACICLIB', 'PALBOCICLIB']","['PALBOCICLIB', 'RIBOCICLIB', 'ABEMACICLIB']",1.0000000000000002,True,1.0,0.6666666666666666,0.8
comparative study on the efficacy and exposure of molecular target agents in nonsmall cell lung cancer pdx models with driver genetic alterations,comparative study on the efficacy and exposure of molecular target agents in non small cell lung cancer pdx models with driver genetic alterations,"['AFATINIB', 'BRIGATINIB', 'CRIZOTINIB', 'ENTRECTINIB', 'GEFITINIB', 'LORLATINIB', 'OSIMERTINIB']","['GEFITINIB', 'OSIMERTINIB', 'AFATINIB', 'CRIZOTINIB', 'ENTRECTINIB', 'BRIGATINIB', 'LORLATINIB', 'POZIOTINIB', 'TRASTUZUMAB DERUXTECAN']",0.9464855935194529,True,1.0,0.7777777777777778,0.8750000000000001
the lifted veil of uncommon egfr mutation pl747p in non small cell lung cancer molecular feature and targeting sensitivity to tyrosine kinase inhibitors,the lifted veil of uncommon egfr mutation pl747p in non small cell lung cancer molecular feature and targeting sensitivity to tyrosine kinase inhibitors,"['AFATINIB', 'DACOMITINIB', 'OSIMERTINIB']","['ERLOTINIB', 'GEFITINIB', 'OSIMERTINIB', 'AFATINIB']",1.0,True,0.6666666666666666,0.5,0.5714285714285715
overcoming osimertinib resistance with akt inhibition in egfrm driven nonsmall cell lung cancer with pik3ca pten alterations,overcoming osimertinib resistance with akt inhibition in egfrm driven nonsmall cell lung cancer with pik3ca pten alterations,"['CAPIVASERTIB', 'OSIMERTINIB']","['OSIMERTINIB', 'CAPIVASERTIB']",1.0000000000000002,True,1.0,1.0,1.0
evaluation of combined chemotherapy and genomic driven targeted therapy in patient derived xenografts identifies new therapeutic approaches in squamous non small cell lung cancer patients,evaluation of combined chemotherapy and genomic driven targeted therapy in patient derived xenografts identifies new therapeutic approaches in squamous non small cell lung cancer patients,"['AFATINIB', 'TRAMETINIB']","['SORAFENIB', 'GEMCITABINE', 'CISPLATIN', 'BEVACIZUMAB']",1.0000000000000002,False,0.0,0.0,
exploration of immune modulatory effects of amivantamab in combination with pembrolizumab in lung and head and neck squamous cell carcinoma,exploration of immune modulatory effects of amivantamab in combination with pembrolizumab in lung and head and neck squamous cell carcinoma,"['PEMBROLIZUMAB', 'AMIVANTAMAB']","['AMIVANTAMAB', 'PEMBROLIZUMAB']",1.0,True,1.0,1.0,1.0
krt 232 and navitoclax enhance trametinib anti cancer activity in non small cell lung cancer patient derived xenografts with kras mutations,krt 232 and navitoclax enhance trametinibs anti cancer activity in non small cell lung cancer patient derived xenografts with kras mutations,"['NAVTEMADLIN', 'krt232', 'NAVITOCLAX', 'TRAMETINIB']","['TRAMETINIB', 'NAVITOCLAX', 'NAVTEMADLIN']",0.8960701614735622,True,0.75,1.0,0.8571428571428571


=== Summary Statistics ===
mean_row_recall,overall_recall,macro_recall,micro_recall,f1_score
0.6293103448275862,0.8275862068965517,0.6293103448275862,0.6233766233766234,<function f1_score at 0x7fe121a101f0>
