title,drug
conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between egfr and mek or cdk4/6 inhibitors,cetuximab;palbociclib;sorafenib;trametinib
combining mek and src inhibitors for treatment of colorectal cancer demonstrate increased efficacy in vitro but not in vivo,dasatinib;trametinib
sensitivity of kras-mutant colorectal cancers to combination therapy that cotargets mek and cdk4/6,palbociclib;trametinib
targeting ras mutant colorectal cancer with dual inhibition of mek and cdk4/6,palbociclib;trametinib
mcl-1 inhibition overcomes intrinsic and acquired regorafenib resistance in colorectal cancer,regorafenib;s63845
activation of the mtor pathway by oxaliplatin in the treatment of colorectal cancer liver metastasis,everolimus;oxaliplatin
synergistic effects of tetrandrine combined with ionizing radiation on a murine colorectal carcinoma?bearing mouse model,tetrandrine
the synergistic antitumor effect of irinotecan and flavonoids on human colon cancer xenograft mice,irinotecan
"synergistic tumor inhibition of colon cancer cells by nitazoxanide and obeticholic acid, a farnesoid x receptor ligand",obeticholic acid;nitazoxanide
significant therapeutic efficacy with combined radioimmunotherapy and cetuximab in preclinical models of colorectal cancer,cetuximab
effect of single and multiple administration of an o?6-benzylguanine/temozolomide combination: an evaluation in a human melanoma xenograft model,temozolomide
synergistic killing of colorectal cancer cells by oxaliplatin and abt-737,oxaliplatin
therapeutic efficacy and inhibitory mechanism of regorafenib combined with radiation in colorectal cancer,regorafenib
phase ib study of vemurafenib in combination with irinotecan and cetuximab in patients with metastatic colorectal cancer with brafv600e mutation,irinotecan;vemurafenib;cetuximab
"evaluation of the efficacy of dasatinib, a src/abl inhibitor, in colorectal cancer cell lines and explant mouse model",dasatinib
dasatinib sensitizes kras mutant colorectal tumors to cetuximab,cetuximab;dasatinib
regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer,regorafenib
therapeutic efficacy and inhibitory mechanism of regorafenib combined with radiation in colorectal cancer,regorafenib
regorafenib inhibits colorectal tumor growth through puma-mediated apoptosis,regorafenib
low?dose trametinib and bcl?xl antagonist have a specific antitumor effect in kras?mutated colorectal cancer cells,navitoclax;trametinib
regorafenib enhances anti-pd1 immunotherapy efficacy in murine colorectal cancers and their combination prevents tumor regrowth,iso;regorafenib;apd1;anti-pd1
"bgb-283, a novel raf kinase and egfr inhibitor, displays potent antitumor activity in?braf-mutated colorectal cancers",lifirafenib;cetuximab;erlotinib
synergistic anti-tumor effect of mtor inhibitors with irinotecan on colon cancer cells,vistusertib;irinotecan;oxaliplatin
https://www.mdpi.com/2072-6694/11/10/1581,irinotecan
"targeting methionine addiction combined with low-dose irinotecan arrested colon cancer in contrast to high-dose irinotecan alone, which was ineffective, in a nude-mouse model",irinotecan
low-dose decitabine enhances the effect of pd-1 blockade in colorectal cancer with microsatellite stability by re-modulating the tumor microenvironment,decitabine;anti-pd1
metformin inhibits cellular proliferation and bioenergetics in colorectal cancer patient?derived xenografts,fluorouracil;metformin
vincristine enhances the efficacy of mek inhibitors in preclinical models of kras-mutant colorectal cancer,trametinib;vincristine
pi3k inhibition enhances the anti-tumor effect of eribulin in triple negative breast cancer,buparlisib;eribulin
integrative in vivo drug testing using gene expression signature and patient-derived xenografts from treatment-refractory her2 positive and triple-negative subtypes of breast cancer,bevacizumab;docetaxel;everolimus;neratinib;px-478;sorafenib
targeting mtor pathway inhibits tumor growth in different molecular subtypes of triple-negative breast cancers,vistusertib;everolimus
mtor inhibition and t-dm1 in her2-positive breast cancer,everolimus;trastuzumab emtansine
"combining neratinib with cdk4/6, mtor, and mek inhibitors in models of her2-positive cancer",everolimus;neratinib;palbociclib;trametinib
cetuximab pet delineated changes in cellular distribution of egfr upon dasatinib treatment in triple negative breast cancer,cetuximab;dasatinib
synergistic action of the mcl-1 inhibitor s63845 with current therapies in preclinical models of triple-negative and her2-amplified breast cancer,docetaxel;s63845;trastuzumab
"expression of mt4-mmp, egfr, and rb in triple-negative breast cancer strongly sensitizes tumors to erlotinib and palbociclib combination therapy",erlotinib;palbociclib
inhibition of basal-like breast cancer growth by fty720 in combination with epidermal growth factor receptor kinase blockade,fingolimod;gefitinib
"doublet and triplet combinations of eribulin, fulvestrant, and palbociclib in preclinical breast cancer models",eribulin;fulvestrant;palbociclib
a population of heterogeneous breast cancer patient-derived xenografts demonstrate broad activity of parp inhibitor in brca1/2 wild-type tumors?,trametinib
lifr inhibition enhances the therapeutic efficacy of hdac inhibitors in triple negative breast cancer,vorinostat
dual fatty acid synthase and her2 signaling blockade shows marked antitumor activity against breast cancer models resistant to anti-her2 drugs,epigallocatechin gallate;temsirolimus
synergistic effect of the Î³-secretase inhibitor pf-03084014 and docetaxel in breast cancer models,docetaxel;nirogacestat
dz-2384 has a superior preclinical profile to taxanes for the treatment of triple-negative breast cancer and is synergistic with anti-ctla-4 immunotherapy,dz-2384;paclitaxel
"a triple-negative matrix-producing breast carcinoma patient-derived orthotopic xenograft (pdox) mouse model is sensitive to bevacizumab and vinorelbine, regressed by eribulin and resistant to olaparib",bevacizumab;eribulin;olaparib;vinorelbine
"activity of docetaxel, carboplatin, and doxorubicin in patient-derived triple-negative breast cancer xenografts",carboplatin;docetaxel;doxorubicin;carboplatin;docetaxel
live cell mass accumulation measurement non-invasively predicts carboplatin sensitivity in triple-negative breast cancer patient-derived xenografts,carboplatin
jak2 regulates paclitaxel resistance in triple negative breast cancers,paclitaxel
selinexor (kpt-330) demonstrates anti-tumor efficacy in preclinical models of triple-negative breast cancer,carboplatin;eribulin;paclitaxel;selinexor
pharmacometabolomics reveals urinary diacetylspermine as a biomarker of doxorubicin effectiveness in triple negative breast cancer,doxorubicin
carbon nanotube capsules enhance the in vivo efficacy of cisplatin,cisplatin
hormad1?overexpression predicts response to anthracycline?cyclophosphamide and survival in triple-negative breast cancers,doxorubicin;cyclophosphamide
capecitabine efficacy is correlated with tymp and rb1 expression in pdx established from triple-negative breast cancers?,doxorubicin;capecitabine;capecitabine without pretreatment;cisplatin;docetaxel;fluorouracil(5-fu);paclitaxel;bevacizumab;cyclophosphamide;vinorebine
inhibition of mtor downregulates expression of dna repair proteins and is highly efficient against brca2-mutated breast cancer in combination to parp inhibition,everolimus;olaparib
atm kinase inhibitor azd0156 in combination with irinotecan and 5-fluorouracil in preclinical models of colorectal cancer,azd0156;irinotecan;fluorouracil
sunitinib facilitates metastatic breast cancer spreading by inducing endothelial cell senescence,sunitinib
a model of postsurgical advanced metastatic breast cancer more accurately replicates the clinical efficacy of antiangiogenic drugs,paclitaxel;sunitinib
combinatorial inhibition of ptpn12-regulated receptors leads to a broadly effective therapeutic strategy in triple-negative breast cancer,crizotinib;sunitinib
establishment of chemosensitivity tests in triple-negative and brca-mutated breast cancer patient-derived xenograft models,carboplatin;olaparib
the mitotic checkpoint is a targetable vulnerability of carboplatin-resistant triple negative breast cancers,carboplatin;prexasertib
wnt/Î²-catenin inhibition disrupts carboplatin resistance in isogenic models of triple-negative breast cancer,carboplatin;LGK974
exploitation of sulfated glycosaminoglycan status for precision medicine of triplatin in triple-negative breast cancer?,carboplatin;triplatin
cyclin e overexpression sensitizes triple-negative breast cancer to wee1 kinase inhibition,adavosertib;carboplatin
dual mtor kinase inhibitor mln0128 sensitizes hr+/her2+ breast cancer patient-derived xenografts to trastuzumab or fulvestrant,trastuzumab
acquired resistance to trastuzumab/pertuzumab or to t-dm1 in vivo can be overcome by her2 kinase inhibition with tas0728,tas0728;trastuzumab;pertuzumab
a novel anti-her2 antibody gb235 reverses trastuzumab resistance in her2-expressing tumor cells?in vitro?and?in vivo,gb235;trastuzumab
targeting her2-axl heterodimerization to overcome resistance to her2 blockade in breast cancer,dubermatinib;trastuzumab
acquired resistance to endocrine treatments is associated with tumor-specific molecular changes in patient-derived luminal breast cancer xenografts,everolimus
shoc2 mediates the drug-resistance of triple-negative breast cancer cells to everolimus,everolimus
the iron chelator deferasirox synergises with chemotherapy to treat triple-negative breast cancers,doxorubicin;dfx;cyclophosphamide
discovery of a glucocorticoid receptor (gr) activity signature using selective gr antagonism in er-negative breast cancer,cort108297;paclitaxel
a human breast cancer-derived xenograft and organoid platform for drug discovery and precision oncology,docetaxel
identification of src family kinases as potential therapeutic targets for chemotherapy-resistant triple negative breast cancer,dasatinib;paclitaxel
doxorubicin conjugation to reovirus improves oncolytic efficacy in triple-negative breast cancer,doxorubicin
elacestrant demonstrates strong anti-estrogenic activity in pdx models of estrogen-receptor positive endocrine-resistant and fulvestrant-resistant breast cancer,elacestrant
elacestrant (rad1901) exhibits anti-tumor activity in multiple er+ breast cancer models resistant to cdk4/6 inhibitors,elacestrant;fulvestrant;palbociclib
oxidative phosphorylation is a metabolic vulnerability in chemotherapy-resistant triple-negative breast cancer,iacs-010759;palbociclib
neratinib synergizes with trastuzumab antibody drug conjugate or with vinorelbine to treat her2 mutated breast cancer patient derived xenografts and organoids,neratinib;vinorelbine
selective androgen receptor modulator rad140 inhibits the growth of androgen/estrogen receptor?positive breast cancer models with a distinct mechanism of action,palbociclib;vosilasarm
the triptolide derivative mrx102 inhibits wnt pathway activation and has potent anti-tumor effects in lung cancer,carboplatin;mrx102
combining cdk4/6 inhibition with taxanes enhances anti-tumor efficacy by sustained impairment of prb-e2f pathways in squamous cell lung cancer,docetaxel;palbociclib
evaluation of combined chemotherapy and genomic-driven targeted therapy in patient-derived xenografts identifies new therapeutic approaches in squamous non-small-cell lung cancer patients,carboplatin;cisplatin;etoposide;gemcitabine;paclitaxel;pemetrexed
3-dimensional patient-derived lung cancer assays reveal resistance to standards-of-care promoted by stromal cells but sensitivity to histone deacetylase inhibitors,carboplatin;paclitaxel
preclinical antitumor efficacy of bay 1129980 a novel auristatin-based anti-c4.4a (lypd3) antibody drug conjugate for the treatment of non small cell lung cancer,carboplatin;cisplatin;docetaxel
role of mtor as an essential kinase in sclc,azd-8055;cisplatin;etoposide
the fact inhibitor cbl0137 synergizes with cisplatin in small-cell lung cancer by increasing?notch1?expression and targeting tumor-initiating cells,cbl1037;cisplatin
cdk4/6 inhibitors impede chemoresistance and inhibit tumor growth of small cell lung cancer,cisplatin;etoposide
rapamycin rescues abt-737 efficacy in small cell lung cancer,abt-737;etoposide
cisplatin increases sensitivity to fgfr inhibition in patient-derived xenograft models of lung squamous cell carcinoma?,infigratinib;cisplatin
sensitization of egfr wild-type non?small cell lung cancer cells to egfr-tyrosine kinase inhibitor erlotinib,cisplatin;erlotinib
ret fusions observed in lung and colorectal cancers are sensitive to ponatinib,cisplatin;ponatinib
a combinatorial strategy for treating kras-mutant lung cancer,ponatinib;trametinib
patient-derived non-small cell lung cancer xenograft mirrors complex tumor heterogeneity,atezolizumab;cisplatin
differential antitumor activity of aflibercept and bevacizumab in patient-derived xenograft models of colorectal cancer,bevacizumab
discontinuous schedule of bevacizumab in colorectal cancer induces accelerated tumor growth and phenotypic changes,bevacizumab
analysis of genomic and non-genomic signaling of estrogen receptor in pdx models of breast cancer treated with a combination of the pi3k inhibitor alpelisib (byl719) and fulvestrant,alpelisib;fulvestrant
nanoparticle-based combination therapy enhances fulvestrant efficacy and overcomes tumor resistance in er-positive breast cancer,abemaciclib;fulvestrant
modeling the novel serd elacestrant in cultured fulvestrant-refractory hr-positive breast circulating tumor cells,fulvestrant
elacestrant demonstrates strong anti-estrogenic activity in pdx models of estrogen-receptor positive endocrine-resistant and fulvestrant-resistant breast cancer,fulvestrant
combination of mtorc1/2 inhibitor vistusertib plus fulvestrant in vitro and in vivo targets oestrogen receptor-positive endocrine-resistant breast cancer,fulvestrant;vistusertib
targeting activated pi3k/mtor signaling overcomes acquired resistance to cdk4/6-based therapies in preclinical models of hormone receptor-positive breast cancer,alpelisib;fulvestrant;palbociclib;ribociclib
effective combination therapies in preclinical endocrine resistant breast cancer models harboring er mutations,everolimus;fulvestrant;palbociclib
"elacestrant (rad1901), a selective estrogen receptor degrader (serd), has antitumor activity in multiple er+?breast cancer patient-derived xenograft models",everolimus;fulvestrant;palbociclib
oral estrogen receptor protac vepdegestrant (arv-471) is highly efficacious as monotherapy and in combination with cdk4/6 or pi3k/mtor pathway inhibitors in preclinical er+?breast cancer models,fulvestrant
pi3k inhibition results in enhanced estrogen receptor function and dependence in hormone receptor?positive breast cancer,alpelisib;fulvestrant
akt antagonist azd5363 influences estrogen receptor function in endocrine-resistant breast cancer and synergizes with fulvestrant (ici182780)?in vivo,capivasertib;fulvestrant
combining the akt inhibitor capivasertib and serd fulvestrant is effective in palbociclib-resistant er+ breast cancer preclinical models,fulvestrant;capivasertib
"preclinical evaluation and phase ib study of prexasertib, a chk1 inhibitor, and samotolisib (ly3023414), a dual pi3k/mtor inhibitor",prexasertib;samotolisib
abemaciclib is effective in palbociclib-resistant hormone receptor?positive metastatic breast cancers,abemaciclib;palbociclib
her4 affects sensitivity to tamoxifen and abemaciclib in luminal breast cancer cells and restricts tumor growth in mcf-7-based humanized tumor mice,abemaciclib;tamoxifen
dual targeting of cdk4/6 and bcl2 pathways augments tumor response in estrogen receptor?positive breast cancer,fulvestrant;palbociclib
"arx788, a site-specific anti-her2 antibody?drug conjugate, demonstrates potent and selective activity in her2-low and t-dm1?resistant breast and gastric cancers",trastuzumab emtansine
combined inhibition of cdk4/6 and akt is highly effective against the luminal androgen receptor (lar) subtype of triple negative breast cancer,alpelisib;capivasertib;palbociclib
mediator kinase inhibitors suppress triple-negative breast cancer growth and extend tumor suppression by mtor and akt inhibitors,capivasertib;everolimus
pharmacological targeting of androgen receptor elicits context-specific effects in estrogen receptor positive breast cancer,fulvestrant
targeting transcription of?mcl-1?sensitizes?her2-amplified breast cancers to her2 inhibitors,lapatinib;neratinib
targeting transcription of?mcl-1?sensitizes?her2-amplified breast cancers to her2 inhibitors,neratinib
multi-kinase inhibitors interact with sildenafil and erbb1/2/4 inhibitors to kill tumor cells?in vitro?and?in vivo,afatinib;lapatinib;sildenafil;sorafenib
acquired resistance to endocrine treatments is associated with tumor-specific molecular changes in patient-derived luminal breast cancer xenografts,everolimus;fulvestrant;letrozole;ovariectomy;tamoxifen
targeting the receptor tyrosine kinase ret in combination with aromatase inhibitors in er positive breast cancer xenografts,ast487;letrozole
kk-lc-1 as a therapeutic target to eliminate aldh+ stem cells in triple negative breast cancer,docetaxel;z8
neratinib plus trastuzumab is superior to pertuzumab plus trastuzumab in her2-positive breast cancer xenograft models,neratinib;pertuzumab;trastuzumab;neratinib;pertuzumab;trastuzumab
early stability and late random tumor progression of a her2-positive primary breast cancer patient-derived xenograft,neratinib;tamoxifen;trastuzumab
brca1-methylated triple negative breast cancers previously exposed to neoadjuvant chemotherapy form rad51 foci and respond poorly to olaparib,carboplatin;olaparib
a population of heterogeneous breast cancer patient-derived xenografts demonstrate broad activity of parp inhibitor in brca1/2 wild-type tumors?,talazoparib
estrogen therapy induces receptor-dependent dna damage enhanced by parp inhibition in er+ breast cancer,olaparib
rb expression confers sensitivity to cdk4/6 inhibitor?mediated radiosensitization across breast cancer subtypes,abemaciclib;palbociclib
short-term cdk4/6 inhibition radiosensitizes estrogen receptor?positive breast cancers,palbociclib
the potent and selective cyclin-dependent kinases 4 and 6 inhibitor ribociclib (lee011) is a versatile combination partner in preclinical cancer models,letrozole;ribociclib
preclinical activity of her2-selective tyrosine kinase inhibitor tucatinib as a single agent or in combination with trastuzumab or docetaxel in solid tumor models,docetaxel;trastuzumab;tucatinib
combination therapy with mdm2 and mek inhibitors is effective in patient-derived models of lung adenocarcinoma with concurrent oncogenic drivers and mdm2 amplification,milademetan;trametinib
palbociclib overcomes afatinib resistance in non-small cell lung cancer,afatinib;palbociclib
her2 exon 20 insertions in non-small-cell lung cancer are sensitive to the irreversible pan-her receptor tyrosine kinase inhibitor pyrotinib,afatinib
novel preclinical patient-derived lung cancer models reveal inhibition of her3 and mtor signaling as therapeutic strategies for nrg1 fusion-positive cancers,afatinib
rapid acquisition of alectinib resistance in alk-positive lung cancer with high tumor mutation burden,alectinib;crizotinib;erlotinib;lorlatinib
comparative study on the efficacy and exposure of molecular target agents in non?small cell lung cancer pdx models with driver genetic alterations,afatinib;brigatinib;crizotinib;entrectinib;gefitinib;lorlatinib;osimertinib
targeting akr1b1 inhibits glutathione de novo synthesis to overcome acquired resistance to egfr-targeted therapy in lung cancer,gefitinib;gefitinib;osimertinib;osimertinib
the lifted veil of uncommon egfr mutation p.l747p in non-small cell lung cancer: molecular feature and targeting sensitivity to tyrosine kinase inhibitors,afatinib;dacomitinib;osimertinib
"ono-7475, a novel axl inhibitor, suppresses the adaptive resistance to initial egfr-tki treatment in egfr-mutated non small cell lung cancer",osimertinib
enhancing the therapeutic efficacy of gefitinib in human non-small-cell lung cancer through drug combination,dbdx;gefitinib
xie-bai-san increases nsclc cells sensitivity to gefitinib by inhibiting beclin-1 mediated autophagosome formation,gefitinib;xbs
activation of the hsp27-akt axis contributes to gefitinib resistance in non-small cell lung cancer cells independent of egfr mutations,gefitinib
"mutant-selective irreversible egfr inhibitor, naquotinib, inhibits tumor growth in nsclc models with egfr-activating mutations, t790m mutation, and axl overexpression",erlotinib
overcoming osimertinib resistance with akt inhibition in egfrm-driven non?small cell lung cancer with pik3ca/pten alterations,capivasertib;osimertinib
"pharmacokinetic/pharmacodynamic analysis of savolitinib plus osimertinib in an egfr mutation positive, met-amplified non small cell lung cancer model",osimertinib
evaluation of combined chemotherapy and genomic-driven targeted therapy in patient-derived xenografts identifies new therapeutic approaches in squamous non-small-cell lung cancer patients,afatinib;trametinib
axl and shc1 confer crizotinib resistance in patient-derived xenograft model of alk-driven lung cancer,alectinib;cr;crizotinib
"discovery of a novel alk/ros1/fak inhibitor, apg-2449, in preclinical non-small cell lung cancer and ovarian cancer models",alectinib;ceritinib;crizotinib;lorlatinib
exploration of immune-modulatory effects of amivantamab in combination with pembrolizumab in lung and head and neck squamous cell carcinoma,pembrolizumab;amivantamab
repotrectinib exhibits potent antitumor activity in treatment-na?ve and solvent-front?mutant ros1-rearranged non?small cell lung cancer,ceritinib;crizotinib;entrectinib;lorlatinib;repotrectinib
de novo?and histologically transformed small-cell lung cancer is sensitive to lurbinectedin treatment through the modulation of emt and notch signaling pathways,lurbinectedin;osimertinib
"bbt-176, a novel fourth-generation tyrosine kinase inhibitor for osimertinib-resistant egfr mutations in non?small cell lung cancer",osimertinib
diverse resistance mechanisms to the third-generation alk inhibitor lorlatinib in alk-rearranged lung cancer,lorlatinib
244-mpt overcomes gefitinib resistance in non-small cell lung cancer cells,gefitinib
osimertinib in combination with anti-angiogenesis therapy presents a promising option for osimertinib-resistant non-small cell lung cancer,alotinib;osimertinib
myc?promotes tyrosine kinase inhibitor resistance in?ros1-fusion-positive lung cancer,crizotinib;ribociclib
utility of patient-derived xenografts to evaluate drug sensitivity and select optimal treatments for individual non-small-cell lung cancer patients,catequentinib;carboplatin;etoposide;nedaplatin;osimertinib;paclitaxel;sotorasib;trametinib
wee1 confers resistance to krasg12c?inhibitors in non-small cell lung cancer,adavosertib;sotorasib
farnesyltransferase inhibition overcomes oncogene-addicted non-small cell lung cancer adaptive resistance to targeted therapies,osimertinib;sotorasib;tipifarnib
lkb1 regulates jnk-dependent stress signaling and apoptotic dependency of?kras-mutant lung cancers,tapotoclax;sotorasib;trametinib
antitumor efficacy of xpo1 inhibitor selinexor in?kras-mutant lung adenocarcinoma patient-derived xenografts,crizotinib;erlotinib;selinexor;trametinib
signature-driven repurposing of midostaurin for combination with mek1/2 and krasg12c inhibitors in lung cancer,midostaurin;trametinib
costunolide is a dual inhibitor of mek1 and akt1/2 that overcomes osimertinib resistance in lung cancer,costunolide;osimertinib
krt-232 and navitoclax enhance trametinib?™s anti-cancer activity in non-small cell lung cancer patient-derived xenografts with kras mutations,navtemadlin;navitoclax;trametinib
